sents,labels
wow,O
WTF,T
wpe wpe,O O
hahaha,O
wtf,T
i cant [SEPA] play [SEPA] with 4 trash,P O SEPA O SEPA O O O
bg,O
#ERROR!,O
gg [SEPA] report my team rat [SEPA] please,S SEPA S P O S SEPA O
ez mid,S S
hahah,O
my arrows [SEPA] always decent [SEPA] fuck u,P O SEPA O O SEPA T P
gh,O
always engage at bot lc cant takle bot then top,O O O S D O O S O S
cmon,O
the comeback is real :),O O O O O
him mid vs me,P S O P
just end [SEPA] i wan nex game,O O SEPA P O O O
g,O
he is not losing,P O O O
Pls report sb thanks,O S C O
omg,O
ggwp,S
WP cap,S O
lo [SEPA] lol,O SEPA O
fuyckjerfe,O
gg noob mid invoker,S T S C
i mean not everyone on ur team is dumb enough to rot down to 2 hp,P O O P O P O O T P O D O O O O
8,O
it just random,P O O
:/,O
u dead [SEPA] i,P T SEPA P
he just keeps charhing [SEPA] since spectre comited ult [SEPA] so did I :D [SEPA] i thought they will go for more blood [SEPA] but whatever,P O O O SEPA O C O S SEPA O O P O SEPA P O P O S O O S SEPA O P
me too,P O
gg ty for mmr,S O O D
gg,S
you know you can take the mana thing out of the mana boots,P O P O S O S O O O O S D
u gave me free farm [SEPA] u could kill me 100 times,P O P O S SEPA P O O P O O
wp [SEPA] legoin report,S SEPA O S
WP m8 [SEPA] nice game but too many shit talk [SEPA] thx sea [SEPA] too many cancer talktalktalk,S O SEPA O O O O P T O SEPA O O SEPA O P S O
SHIT,T
talking to my boy alch,O O P O C
TIME FOR A BIT OF RO SHAM BO,O O O O O O O O
COMEND DOOM IN LEGION,O C O C
greedy,O
dont def [SEPA] noob team,O O SEPA T O
gg,S
spectre isnt meant to win the lane,C O O O O O S
shit [SEPA] SHIT [SEPA] SHIT [SEPA] SHITTT :),T SEPA T SEPA T SEPA O O
sad bs,O S
ez,S
T T QOP,O O C
you guys win this fag went mid [SEPA] so fucking bad mid,P P O P T O S SEPA O T O S
Alche and lycan,C O C
Rip,O
singing siren dancing jugg,O O O C
ez game,S O
meeporino feederino,C O
ur asshole,P T
Thats all I gotta say [SEPA] Drow 5,P P P O O SEPA C O
COMMEND,O
lowskill shits [SEPA] all you have to do is dive endlessly [SEPA] and this cunt silencer and invoekr [SEPA] let you win,O T SEPA P P O O O O S O SEPA O P T C O C SEPA O P O
tnx for the russian team obama could have at least nuked putin,O O O O O O O O O O O O
wise ffs [SEPA] can youi stop inviting strangers to fuck your grandmothers corpse,O T SEPA O O O O O O T P O O
nice,O
heng i never die,O P O O
We all randomed,P P O
golden medal for u lc,O O O P D
GG lag,S O
HAHA,O
btw AM nice blink into stun :D,O C O D O S O
who care [SEPA],P S SEPA
emergency plan sry,O O O
i want slardar getting strong,P O C O O
ahahaha,O
ez tho,S O
i know your feeling bro,P O P O P
whos your daddy,O P O
stunning,O
5 man doto,O P O
